epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.497,1.12123,1.5523,1.58321,0.78235,0.86309,0.91161,0.63067,1.08696,0.94645,1.81024,0.000553744,0.000553744,0.000553744
2,281.95,1.10913,1.51474,1.5775,0.87419,0.87299,0.92807,0.62735,1.17878,0.94703,1.9066,0.00106548,0.00106548,0.00106548
3,422.768,1.14357,1.58503,1.60973,0.89347,0.83345,0.91487,0.61064,1.23232,1.03616,2.01386,0.0015332,0.0015332,0.0015332
4,556.822,1.17047,1.57341,1.62078,0.77619,0.77956,0.84415,0.54144,1.27147,1.08188,2.00759,0.00146896,0.00146896,0.00146896
5,694.723,1.11849,1.53968,1.57487,0.86939,0.8464,0.91309,0.62835,1.12008,0.9934,1.86363,0.00140295,0.00140295,0.00140295
6,829.947,1.13128,1.55601,1.59653,0.87751,0.87535,0.91135,0.61047,1.18515,0.97,1.88166,0.00133693,0.00133693,0.00133693
7,964.369,1.11427,1.53754,1.57211,0.88567,0.83357,0.91613,0.61315,1.14722,1.01768,1.85508,0.00127092,0.00127092,0.00127092
8,1102.95,1.08234,1.49126,1.56122,0.87789,0.85636,0.93011,0.5986,1.18944,0.95801,1.96088,0.00120491,0.00120491,0.00120491
9,1239.43,1.08261,1.49276,1.55042,0.83898,0.78992,0.88487,0.59654,1.17525,1.06368,1.8627,0.00113889,0.00113889,0.00113889
10,1377.02,1.08387,1.47605,1.54379,0.86773,0.81825,0.91446,0.61292,1.17329,1.01679,1.87249,0.00107288,0.00107288,0.00107288
11,1510.68,1.08327,1.47988,1.54258,0.82866,0.84065,0.88333,0.61521,1.12274,1.04426,1.87173,0.00100687,0.00100687,0.00100687
12,1647.93,1.07224,1.44158,1.53971,0.88993,0.87927,0.93838,0.65765,1.10966,0.89037,1.83817,0.000940855,0.000940855,0.000940855
13,1781.04,1.06452,1.44205,1.52644,0.9228,0.87007,0.93982,0.63955,1.1316,0.86377,1.82851,0.000874842,0.000874842,0.000874842
14,1913.35,1.04868,1.44852,1.51317,0.87881,0.88638,0.94759,0.64065,1.14586,0.86906,1.87118,0.000808828,0.000808828,0.000808828
15,2050.84,1.03776,1.41636,1.51036,0.89518,0.89084,0.94237,0.66024,1.08965,0.90257,1.79105,0.000742815,0.000742815,0.000742815
16,2186.61,0.95582,1.32138,1.61292,0.91679,0.90497,0.95986,0.68116,1.05176,0.83482,1.76287,0.000676802,0.000676802,0.000676802
17,2320.99,0.92211,1.26039,1.57652,0.92399,0.89101,0.96146,0.67394,1.07025,0.88399,1.80476,0.000610789,0.000610789,0.000610789
18,2450.3,0.89612,1.23541,1.539,0.87068,0.87523,0.92751,0.65659,1.0598,0.90277,1.76901,0.000544776,0.000544776,0.000544776
19,2581.4,0.89192,1.22195,1.52622,0.90765,0.90412,0.95257,0.67675,1.05212,0.85765,1.76101,0.000478762,0.000478762,0.000478762
20,2719.42,0.8799,1.1981,1.52164,0.92951,0.89558,0.95445,0.68632,1.05361,0.83789,1.76937,0.000412749,0.000412749,0.000412749
21,2854.29,0.86701,1.18506,1.49752,0.91591,0.89927,0.95524,0.67679,1.0849,0.83248,1.77261,0.000346736,0.000346736,0.000346736
22,2987.54,0.85875,1.17917,1.50623,0.88744,0.90884,0.9417,0.67297,1.04927,0.88642,1.74333,0.000280723,0.000280723,0.000280723
23,3118.49,0.84445,1.18367,1.48658,0.89287,0.89238,0.94501,0.67345,1.0424,0.87594,1.74749,0.00021471,0.00021471,0.00021471
24,3249.75,0.8252,1.15903,1.4556,0.92199,0.89868,0.96643,0.70264,1.0257,0.81942,1.72977,0.000148696,0.000148696,0.000148696
25,3382.66,0.81686,1.14317,1.46347,0.92157,0.9017,0.95654,0.69938,1.03134,0.83436,1.74138,8.26832e-05,8.26832e-05,8.26832e-05
